protein_id,disease_id,association_type,confidence
P001,D151,risk_factor,high
P001,D018,protective,very_high
P001,D004,causal,very_high
P002,D016,risk_factor,high
P002,D102,environmental_factor,medium
P002,D130,comorbidity,medium
P003,D129,biomarker,very_high
P003,D107,environmental_factor,low
P003,D109,pharmacokinetic,medium
P003,D180,pharmacokinetic,low
P003,D103,genetic_predisposition,high
P004,D040,risk_factor,medium
P004,D072,biomarker,medium
P004,D022,pharmacokinetic,very_high
P005,D053,prognostic,medium
P005,D040,diagnostic,medium
P005,D138,genetic_predisposition,high
P006,D163,environmental_factor,high
P007,D175,biomarker,very_high
P007,D165,risk_factor,high
P008,D179,protective,low
P008,D112,causal,medium
P008,D187,protective,low
P009,D023,diagnostic,very_high
P010,D030,risk_factor,low
P010,D117,environmental_factor,high
P010,D157,comorbidity,very_high
P010,D156,environmental_factor,medium
P010,D015,comorbidity,medium
P011,D045,comorbidity,very_high
P011,D031,therapeutic_target,low
P011,D004,comorbidity,high
P012,D003,prognostic,medium
P012,D042,pharmacokinetic,low
P012,D128,pharmacokinetic,very_high
P013,D185,risk_factor,high
P014,D043,prognostic,very_high
P015,D033,comorbidity,high
P016,D069,comorbidity,high
P017,D031,diagnostic,very_high
P017,D008,risk_factor,medium
P017,D086,pharmacokinetic,medium
P018,D017,genetic_predisposition,very_high
P018,D068,environmental_factor,medium
P018,D183,biomarker,medium
P019,D128,pharmacokinetic,very_high
P019,D117,prognostic,low
P020,D015,genetic_predisposition,medium
P020,D128,therapeutic_target,very_high
P021,D095,therapeutic_target,medium
P022,D066,genetic_predisposition,high
P022,D027,environmental_factor,low
P023,D186,protective,medium
P023,D030,comorbidity,high
P024,D131,causal,very_high
P024,D001,causal,very_high
P025,D063,causal,high
P026,D121,diagnostic,low
P026,D094,therapeutic_target,low
P027,D046,causal,very_high
P028,D142,environmental_factor,high
P028,D183,diagnostic,medium
P028,D190,protective,medium
P029,D083,protective,high
P030,D107,prognostic,low
P030,D185,risk_factor,medium
P031,D020,prognostic,very_high
P031,D147,biomarker,very_high
P032,D129,protective,very_high
P032,D173,pharmacokinetic,high
P032,D014,causal,very_high
P032,D046,diagnostic,very_high
P033,D018,pharmacodynamic,high
P034,D073,biomarker,medium
P034,D080,pharmacokinetic,high
P034,D084,pharmacodynamic,medium
P035,D003,prognostic,medium
P036,D052,risk_factor,low
P037,D145,risk_factor,very_high
P038,D190,genetic_predisposition,medium
P039,D063,pharmacodynamic,very_high
P040,D095,genetic_predisposition,medium
P041,D127,pharmacokinetic,high
P041,D051,protective,medium
P041,D188,therapeutic_target,high
P042,D002,causal,high
P042,D105,protective,low
P043,D139,prognostic,very_high
P044,D163,causal,high
P044,D178,prognostic,high
P045,D001,comorbidity,medium
P045,D169,comorbidity,very_high
P045,D097,risk_factor,medium
P046,D027,protective,very_high
P046,D053,diagnostic,very_high
P046,D136,pharmacodynamic,low
P047,D016,therapeutic_target,medium
P048,D183,risk_factor,medium
P049,D024,diagnostic,medium
P049,D012,comorbidity,medium
P049,D060,prognostic,very_high
P049,D134,pharmacodynamic,high
P050,D022,pharmacokinetic,low
P050,D149,therapeutic_target,medium
P050,D025,environmental_factor,low
P051,D101,biomarker,very_high
P052,D152,genetic_predisposition,high
P053,D016,environmental_factor,medium
P053,D112,therapeutic_target,high
P054,D061,risk_factor,very_high
P055,D067,comorbidity,medium
P055,D081,prognostic,very_high
P055,D101,prognostic,low
P055,D180,pharmacodynamic,medium
P056,D070,protective,very_high
P057,D020,therapeutic_target,medium
P057,D052,biomarker,very_high
P057,D035,therapeutic_target,medium
P057,D150,pharmacodynamic,medium
P057,D028,pharmacodynamic,high
P058,D081,prognostic,very_high
P058,D105,protective,medium
P058,D031,pharmacodynamic,low
P058,D138,risk_factor,medium
P059,D119,risk_factor,medium
P060,D031,environmental_factor,medium
P060,D024,risk_factor,high
P060,D041,comorbidity,medium
P061,D179,protective,high
P061,D155,prognostic,low
P061,D011,therapeutic_target,high
P062,D024,protective,low
P062,D183,prognostic,medium
P063,D102,causal,medium
P063,D132,environmental_factor,very_high
P064,D077,causal,very_high
P064,D067,diagnostic,medium
P064,D045,pharmacodynamic,high
P065,D143,protective,medium
P065,D141,biomarker,low
P066,D119,therapeutic_target,high
P066,D027,biomarker,high
P067,D004,causal,very_high
P068,D057,therapeutic_target,medium
P069,D051,diagnostic,high
P070,D096,environmental_factor,high
P070,D176,biomarker,medium
P070,D162,genetic_predisposition,high
P071,D151,causal,very_high
P071,D067,biomarker,medium
P071,D020,protective,high
P072,D166,biomarker,very_high
P072,D114,causal,low
P072,D033,pharmacodynamic,low
P072,D024,causal,high
P072,D085,therapeutic_target,very_high
P073,D147,comorbidity,medium
P073,D111,diagnostic,medium
P074,D128,diagnostic,very_high
P074,D008,environmental_factor,medium
P075,D110,protective,very_high
P075,D045,therapeutic_target,medium
P075,D091,risk_factor,medium
P076,D072,pharmacodynamic,high
P077,D039,genetic_predisposition,high
P077,D009,genetic_predisposition,very_high
P078,D158,protective,very_high
P079,D166,pharmacodynamic,medium
P079,D076,diagnostic,high
P080,D141,biomarker,medium
P080,D123,risk_factor,very_high
P080,D016,diagnostic,very_high
P081,D036,diagnostic,very_high
P082,D052,environmental_factor,medium
P083,D135,protective,high
P084,D162,causal,low
P084,D140,diagnostic,high
P085,D183,pharmacodynamic,low
P085,D092,pharmacokinetic,very_high
P086,D125,pharmacokinetic,high
P086,D089,prognostic,very_high
P086,D145,diagnostic,high
P087,D070,protective,very_high
P087,D047,causal,very_high
P087,D007,risk_factor,low
P087,D082,causal,very_high
P087,D153,pharmacodynamic,high
P088,D136,prognostic,low
P089,D150,therapeutic_target,medium
P089,D060,biomarker,very_high
P090,D064,risk_factor,low
P090,D169,pharmacokinetic,very_high
P090,D062,comorbidity,low
P091,D015,diagnostic,high
P091,D057,prognostic,high
P091,D148,therapeutic_target,very_high
P092,D046,protective,high
P093,D152,comorbidity,high
P093,D082,prognostic,high
P093,D189,genetic_predisposition,medium
P094,D008,prognostic,medium
P094,D181,genetic_predisposition,low
P094,D180,genetic_predisposition,high
P095,D037,pharmacodynamic,medium
P095,D145,pharmacokinetic,medium
P095,D049,risk_factor,medium
P096,D045,pharmacodynamic,high
P097,D010,protective,high
P097,D024,genetic_predisposition,very_high
P097,D015,protective,medium
P098,D006,causal,high
P098,D135,prognostic,very_high
P098,D123,genetic_predisposition,very_high
P099,D052,therapeutic_target,very_high
P100,D088,comorbidity,high
P101,D046,prognostic,medium
P102,D016,genetic_predisposition,medium
